NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
021;1;11;1:41.152;2;;34.345;2;33.978;0;32.829;2;139.7;18:45.309;09:08:07.625;0:34.345;0:33.978;0:32.829;213.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.345;33.978;32.829;23.974;23.974;10.371;34.345;19.146;53.491;14.832;1:08.323;13.070;1:21.393;19.759;1:41.152;
021;1;12;2:12.421;0;;39.254;0;45.044;0;48.123;0;106.7;20:57.730;09:10:20.046;0:39.254;0:45.044;0:48.123;199.3;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;FCY;39.254;45.044;48.123;27.827;27.827;11.427;39.254;29.046;1:08.300;15.998;1:24.298;18.727;1:43.025;29.396;2:12.421;
021;1;13;2:34.195;0;;56.226;0;49.239;0;48.730;0;91.6;23:31.925;09:12:54.241;0:56.226;0:49.239;0:48.730;136.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;FCY;56.226;49.239;48.730;45.090;45.090;11.136;56.226;32.666;1:28.892;16.573;1:45.465;20.379;2:05.844;28.351;2:34.195;
021;1;14;2:26.477;0;;54.051;0;46.214;0;46.212;0;96.5;25:58.402;09:15:20.718;0:54.051;0:46.214;0:46.212;144.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;FCY;54.051;46.214;46.212;42.947;42.947;11.104;54.051;29.552;1:23.603;16.662;1:40.265;18.022;1:58.287;28.190;2:26.477;
021;1;15;2:10.948;0;;48.604;0;39.880;0;42.464;0;107.9;28:09.350;09:17:31.666;0:48.604;0:39.880;0:42.464;142.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;48.604;39.880;42.464;37.812;37.812;10.792;48.604;23.787;1:12.391;16.093;1:28.484;19.055;1:47.539;23.409;2:10.948;
021;1;16;1:45.414;0;;36.323;0;35.238;0;33.853;0;134.0;29:54.764;09:19:17.080;0:36.323;0:35.238;0:33.853;207.3;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;36.323;35.238;33.853;25.445;25.445;10.878;36.323;20.021;56.344;15.217;1:11.561;13.480;1:25.041;20.373;1:45.414;
021;1;17;1:42.269;0;;34.681;0;34.427;0;33.161;0;138.2;31:37.033;09:20:59.349;0:34.681;0:34.427;0:33.161;214.3;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.681;34.427;33.161;24.237;24.237;10.444;34.681;19.321;54.002;15.106;1:09.108;13.010;1:22.118;20.151;1:42.269;
021;1;18;1:41.548;0;;34.612;0;33.991;0;32.945;0;139.2;33:18.581;09:22:40.897;0:34.612;0:33.991;0:32.945;213.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.612;33.991;32.945;24.188;24.188;10.424;34.612;19.195;53.807;14.796;1:08.603;12.979;1:21.582;19.966;1:41.548;
021;1;19;1:42.442;0;;34.477;0;34.902;0;33.063;0;137.9;35:01.023;09:24:23.339;0:34.477;0:34.902;0:33.063;213.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.477;34.902;33.063;24.091;24.091;10.386;34.477;19.998;54.475;14.904;1:09.379;13.053;1:22.432;20.010;1:42.442;
021;1;20;1:41.543;0;;34.590;0;33.854;2;33.099;0;139.2;36:42.566;09:26:04.882;0:34.590;0:33.854;0:33.099;215.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.590;33.854;33.099;24.311;24.311;10.279;34.590;19.063;53.653;14.791;1:08.444;13.054;1:21.498;20.045;1:41.543;
021;1;21;1:42.177;0;;34.620;0;34.116;0;33.441;0;138.3;38:24.743;09:27:47.059;0:34.620;0:34.116;0:33.441;212.2;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.620;34.116;33.441;24.273;24.273;10.347;34.620;19.224;53.844;14.892;1:08.736;13.077;1:21.813;20.364;1:42.177;
021;1;22;1:42.501;0;;35.279;0;34.327;0;32.895;0;137.9;40:07.244;09:29:29.560;0:35.279;0:34.327;0:32.895;211.4;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.279;34.327;32.895;24.802;24.802;10.477;35.279;19.338;54.617;14.989;1:09.606;13.018;1:22.624;19.877;1:42.501;
021;1;23;1:42.147;0;;35.025;0;34.247;0;32.875;0;138.3;41:49.391;09:31:11.707;0:35.025;0:34.247;0:32.875;213.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.025;34.247;32.875;24.167;24.167;10.858;35.025;19.390;54.415;14.857;1:09.272;13.012;1:22.284;19.863;1:42.147;
021;1;24;1:41.440;0;;34.489;0;33.963;0;32.988;0;139.3;43:30.831;09:32:53.147;0:34.489;0:33.963;0:32.988;213.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.489;33.963;32.988;24.142;24.142;10.347;34.489;19.074;53.563;14.889;1:08.452;12.984;1:21.436;20.004;1:41.440;
021;1;25;1:42.310;0;;34.884;0;34.147;0;33.279;0;138.1;45:13.141;09:34:35.457;0:34.884;0:34.147;0:33.279;215.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.884;34.147;33.279;24.251;24.251;10.633;34.884;19.294;54.178;14.853;1:09.031;13.060;1:22.091;20.219;1:42.310;
021;1;26;1:42.319;0;;34.648;0;34.359;0;33.312;0;138.1;46:55.460;09:36:17.776;0:34.648;0:34.359;0:33.312;210.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;FF;34.648;34.359;33.312;24.261;24.261;10.387;34.648;19.267;53.915;15.092;1:09.007;13.106;1:22.113;20.206;1:42.319;
03;1;1;1:50.087;0;;40.688;0;36.013;0;33.386;0;128.4;1:50.087;08:51:12.403;0:40.688;0:36.013;0:33.386;197.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;40.688;36.013;33.386;29.522;29.522;11.166;40.688;20.474;1:01.162;15.539;1:16.701;13.601;1:30.302;19.785;1:50.087;
03;1;2;1:44.490;0;;35.494;0;35.228;0;33.768;0;135.2;3:34.577;08:52:56.893;0:35.494;0:35.228;0:33.768;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;35.494;35.228;33.768;24.923;24.923;10.571;35.494;19.810;55.304;15.418;1:10.722;13.598;1:24.320;20.170;1:44.490;
03;1;3;1:41.545;0;;34.545;0;34.182;0;32.818;0;139.2;5:16.122;08:54:38.438;0:34.545;0:34.182;0:32.818;212.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.545;34.182;32.818;24.193;24.193;10.352;34.545;19.252;53.797;14.930;1:08.727;12.995;1:21.722;19.823;1:41.545;
03;1;4;1:42.819;0;;34.767;0;34.210;0;33.842;0;137.4;6:58.941;08:56:21.257;0:34.767;0:34.210;0:33.842;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.767;34.210;33.842;23.961;23.961;10.806;34.767;19.224;53.991;14.986;1:08.977;13.612;1:22.589;20.230;1:42.819;
03;1;5;1:42.026;0;;34.662;0;34.271;0;33.093;0;138.5;8:40.967;08:58:03.283;0:34.662;0:34.271;0:33.093;217.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.662;34.271;33.093;24.287;24.287;10.375;34.662;19.177;53.839;15.094;1:08.933;13.211;1:22.144;19.882;1:42.026;
03;1;6;1:41.871;0;;34.625;0;33.956;0;33.290;0;138.7;10:22.838;08:59:45.154;0:34.625;0:33.956;0:33.290;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.625;33.956;33.290;24.407;24.407;10.218;34.625;19.115;53.740;14.841;1:08.581;13.031;1:21.612;20.259;1:41.871;
03;1;7;1:42.460;0;;34.585;0;34.305;0;33.570;0;137.9;12:05.298;09:01:27.614;0:34.585;0:34.305;0:33.570;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.585;34.305;33.570;24.104;24.104;10.481;34.585;19.194;53.779;15.111;1:08.890;13.353;1:22.243;20.217;1:42.460;
03;1;8;1:42.492;0;;35.452;0;34.124;0;32.916;0;137.9;13:47.790;09:03:10.106;0:35.452;0:34.124;0:32.916;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;35.452;34.124;32.916;24.881;24.881;10.571;35.452;19.241;54.693;14.883;1:09.576;13.039;1:22.615;19.877;1:42.492;
03;1;9;1:41.509;0;;34.545;0;34.100;0;32.864;0;139.2;15:29.299;09:04:51.615;0:34.545;0:34.100;0:32.864;214.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.545;34.100;32.864;24.162;24.162;10.383;34.545;19.280;53.825;14.820;1:08.645;12.992;1:21.637;19.872;1:41.509;
03;1;10;1:41.429;0;;34.537;2;34.066;0;32.826;0;139.3;17:10.728;09:06:33.044;0:34.537;0:34.066;0:32.826;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.537;34.066;32.826;24.221;24.221;10.316;34.537;19.195;53.732;14.871;1:08.603;12.989;1:21.592;19.837;1:41.429;
03;1;11;1:41.759;0;;34.723;0;34.315;0;32.721;2;138.9;18:52.487;09:08:14.803;0:34.723;0:34.315;0:32.721;215.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FCY;34.723;34.315;32.721;24.390;24.390;10.333;34.723;19.375;54.098;14.940;1:09.038;12.887;1:21.925;19.834;1:41.759;
03;1;12;2:07.428;0;;38.915;0;40.833;0;47.680;0;110.9;20:59.915;09:10:22.231;0:38.915;0:40.833;0:47.680;206.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FCY;38.915;40.833;47.680;26.552;26.552;12.363;38.915;24.858;1:03.773;15.975;1:19.748;18.227;1:37.975;29.453;2:07.428;
03;1;13;2:33.897;0;;56.267;0;48.969;0;48.661;0;91.8;23:33.812;09:12:56.128;0:56.267;0:48.969;0:48.661;138.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FCY;56.267;48.969;48.661;44.692;44.692;11.575;56.267;32.247;1:28.514;16.722;1:45.236;20.319;2:05.555;28.342;2:33.897;
03;1;14;2:25.745;0;;54.316;0;45.564;0;45.865;0;97.0;25:59.557;09:15:21.873;0:54.316;0:45.564;0:45.865;149.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FCY;54.316;45.564;45.865;43.020;43.020;11.296;54.316;29.798;1:24.114;15.766;1:39.880;18.060;1:57.940;27.805;2:25.745;
03;1;15;2:10.975;0;;48.632;0;40.234;0;42.109;0;107.9;28:10.532;09:17:32.848;0:48.632;0:40.234;0:42.109;146.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;48.632;40.234;42.109;38.031;38.031;10.601;48.632;24.736;1:13.368;15.498;1:28.866;18.638;1:47.504;23.471;2:10.975;
03;1;16;1:43.133;0;;35.278;0;34.752;0;33.103;0;137.0;29:53.665;09:19:15.981;0:35.278;0:34.752;0:33.103;211.4;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;35.278;34.752;33.103;24.767;24.767;10.511;35.278;19.644;54.922;15.108;1:10.030;13.097;1:23.127;20.006;1:43.133;
03;1;17;1:42.355;0;;34.676;0;34.401;0;33.278;0;138.1;31:36.020;09:20:58.336;0:34.676;0:34.401;0:33.278;215.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.676;34.401;33.278;24.299;24.299;10.377;34.676;19.388;54.064;15.013;1:09.077;13.232;1:22.309;20.046;1:42.355;
03;1;18;1:41.384;2;;34.625;0;33.891;0;32.868;0;139.4;33:17.404;09:22:39.720;0:34.625;0:33.891;0:32.868;214.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.625;33.891;32.868;24.217;24.217;10.408;34.625;19.016;53.641;14.875;1:08.516;13.012;1:21.528;19.856;1:41.384;
03;1;19;1:44.244;0;;35.327;0;35.697;0;33.220;0;135.6;35:01.648;09:24:23.964;0:35.327;0:35.697;0:33.220;215.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;35.327;35.697;33.220;24.241;24.241;11.086;35.327;20.441;55.768;15.256;1:11.024;13.113;1:24.137;20.107;1:44.244;
03;1;20;1:41.710;0;;34.672;0;34.020;0;33.018;0;138.9;36:43.358;09:26:05.674;0:34.672;0:34.020;0:33.018;214.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.672;34.020;33.018;24.256;24.256;10.416;34.672;19.182;53.854;14.838;1:08.692;13.015;1:21.707;20.003;1:41.710;
03;1;21;1:41.447;0;;34.558;0;33.851;2;33.038;0;139.3;38:24.805;09:27:47.121;0:34.558;0:33.851;0:33.038;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.558;33.851;33.038;24.201;24.201;10.357;34.558;19.064;53.622;14.787;1:08.409;13.107;1:21.516;19.931;1:41.447;
03;1;22;1:41.993;0;;34.981;0;34.069;0;32.943;0;138.5;40:06.798;09:29:29.114;0:34.981;0:34.069;0:32.943;210.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.981;34.069;32.943;24.504;24.504;10.477;34.981;19.190;54.171;14.879;1:09.050;12.996;1:22.046;19.947;1:41.993;
03;1;23;1:42.165;0;;35.226;0;33.948;0;32.991;0;138.3;41:48.963;09:31:11.279;0:35.226;0:33.948;0:32.991;215.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;35.226;33.948;32.991;24.490;24.490;10.736;35.226;19.143;54.369;14.805;1:09.174;12.994;1:22.168;19.997;1:42.165;
03;1;24;1:41.596;0;;34.566;0;33.915;0;33.115;0;139.1;43:30.559;09:32:52.875;0:34.566;0:33.915;0:33.115;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.566;33.915;33.115;24.121;24.121;10.445;34.566;19.085;53.651;14.830;1:08.481;13.040;1:21.521;20.075;1:41.596;
03;1;25;1:41.934;0;;34.941;0;34.084;0;32.909;0;138.6;45:12.493;09:34:34.809;0:34.941;0:34.084;0:32.909;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;34.941;34.084;32.909;24.326;24.326;10.615;34.941;19.134;54.075;14.950;1:09.025;12.983;1:22.008;19.926;1:41.934;
03;1;26;1:41.662;0;;34.658;0;34.164;0;32.840;0;139.0;46:54.155;09:36:16.471;0:34.658;0:34.164;0:32.840;213.0;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;34.658;34.164;32.840;24.162;24.162;10.496;34.658;19.155;53.813;15.009;1:08.822;12.997;1:21.819;19.843;1:41.662;
11;1;1;1:48.973;0;;40.598;0;34.966;0;33.409;0;129.7;1:48.973;08:51:11.289;0:40.598;0:34.966;0:33.409;200.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;40.598;34.966;33.409;29.578;29.578;11.020;40.598;19.893;1:00.491;15.073;1:15.564;13.355;1:28.919;20.054;1:48.973;
11;1;2;1:43.965;0;;35.801;0;35.056;0;33.108;0;135.9;3:32.938;08:52:55.254;0:35.801;0:35.056;0:33.108;216.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;35.801;35.056;33.108;25.118;25.118;10.683;35.801;19.658;55.459;15.398;1:10.857;13.131;1:23.988;19.977;1:43.965;
11;1;3;1:42.505;0;;35.038;0;34.448;0;33.019;0;137.9;5:15.443;08:54:37.759;0:35.038;0:34.448;0:33.019;216.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;35.038;34.448;33.019;24.664;24.664;10.374;35.038;19.167;54.205;15.281;1:09.486;13.129;1:22.615;19.890;1:42.505;
11;1;4;1:43.047;0;;35.045;0;34.314;0;33.688;0;137.1;6:58.490;08:56:20.806;0:35.045;0:34.314;0:33.688;215.1;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;35.045;34.314;33.688;24.551;24.551;10.494;35.045;19.184;54.229;15.130;1:09.359;13.662;1:23.021;20.026;1:43.047;
11;1;5;1:42.795;0;;34.776;0;34.452;0;33.567;0;137.5;8:41.285;08:58:03.601;0:34.776;0:34.452;0:33.567;213.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;34.776;34.452;33.567;24.381;24.381;10.395;34.776;19.208;53.984;15.244;1:09.228;13.601;1:22.829;19.966;1:42.795;
11;1;6;1:43.056;0;;34.826;0;34.776;0;33.454;0;137.1;10:24.341;08:59:46.657;0:34.826;0:34.776;0:33.454;216.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;34.826;34.776;33.454;24.492;24.492;10.334;34.826;19.527;54.353;15.249;1:09.602;13.431;1:23.033;20.023;1:43.056;
11;1;7;1:42.624;0;;34.947;0;34.814;0;32.863;2;137.7;12:06.965;09:01:29.281;0:34.947;0:34.814;0:32.863;216.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;34.947;34.814;32.863;24.311;24.311;10.636;34.947;19.636;54.583;15.178;1:09.761;12.998;1:22.759;19.865;1:42.624;
11;1;8;1:43.317;0;;35.922;0;34.455;0;32.940;0;136.8;13:50.282;09:03:12.598;0:35.922;0:34.455;0:32.940;215.1;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;35.922;34.455;32.940;24.251;24.251;11.671;35.922;19.544;55.466;14.911;1:10.377;13.072;1:23.449;19.868;1:43.317;
11;1;9;1:41.713;2;;34.631;2;34.156;2;32.926;0;138.9;15:31.995;09:04:54.311;0:34.631;0:34.156;0:32.926;214.3;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;34.631;34.156;32.926;24.243;24.243;10.388;34.631;19.186;53.817;14.970;1:08.787;13.093;1:21.880;19.833;1:41.713;
11;1;10;1:42.384;0;;35.056;0;34.274;0;33.054;0;138.0;17:14.379;09:06:36.695;0:35.056;0:34.274;0:33.054;213.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;35.056;34.274;33.054;24.738;24.738;10.318;35.056;19.361;54.417;14.913;1:09.330;13.076;1:22.406;19.978;1:42.384;
11;1;11;1:42.359;0;;35.079;0;34.180;0;33.100;0;138.0;18:56.738;09:08:19.054;0:35.079;0:34.180;0:33.100;212.2;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FCY;35.079;34.180;33.100;24.647;24.647;10.432;35.079;19.280;54.359;14.900;1:09.259;12.997;1:22.256;20.103;1:42.359;
11;1;12;2:05.113;0;;37.364;0;42.116;0;45.633;0;112.9;21:01.851;09:10:24.167;0:37.364;0:42.116;0:45.633;206.1;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FCY;37.364;42.116;45.633;26.306;26.306;11.058;37.364;24.437;1:01.801;17.679;1:19.480;16.078;1:35.558;29.555;2:05.113;
11;1;13;2:34.301;0;;56.384;0;48.470;0;49.447;0;91.6;23:36.152;09:12:58.468;0:56.384;0:48.470;0:49.447;135.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FCY;56.384;48.470;49.447;45.018;45.018;11.366;56.384;32.077;1:28.461;16.393;1:44.854;20.531;2:05.385;28.916;2:34.301;
11;1;14;2:25.209;0;;53.503;0;47.006;0;44.700;0;97.3;26:01.361;09:15:23.677;0:53.503;0:47.006;0:44.700;144.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FCY;53.503;47.006;44.700;42.579;42.579;10.924;53.503;30.915;1:24.418;16.091;1:40.509;18.772;1:59.281;25.928;2:25.209;
11;1;15;2:10.856;0;;49.069;0;39.679;0;42.108;0;108.0;28:12.217;09:17:34.533;0:49.069;0:39.679;0:42.108;156.1;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;49.069;39.679;42.108;38.227;38.227;10.842;49.069;24.276;1:13.345;15.403;1:28.748;18.041;1:46.789;24.067;2:10.856;
11;1;16;1:42.962;0;;35.252;0;34.545;0;33.165;0;137.2;29:55.179;09:19:17.495;0:35.252;0:34.545;0:33.165;209.3;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;35.252;34.545;33.165;24.712;24.712;10.540;35.252;19.368;54.620;15.177;1:09.797;13.253;1:23.050;19.912;1:42.962;
11;1;17;1:42.950;0;;34.743;0;34.578;0;33.629;0;137.3;31:38.129;09:21:00.445;0:34.743;0:34.578;0:33.629;217.3;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;34.743;34.578;33.629;24.314;24.314;10.429;34.743;19.332;54.075;15.246;1:09.321;13.646;1:22.967;19.983;1:42.950;
11;1;18;1:42.429;0;;34.682;0;34.351;0;33.396;0;138.0;33:20.558;09:22:42.874;0:34.682;0:34.351;0:33.396;216.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;34.682;34.351;33.396;24.322;24.322;10.360;34.682;19.434;54.116;14.917;1:09.033;13.398;1:22.431;19.998;1:42.429;
11;1;19;1:43.692;0;;34.816;0;35.282;0;33.594;0;136.3;35:04.250;09:24:26.566;0:34.816;0:35.282;0:33.594;213.0;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;34.816;35.282;33.594;24.355;24.355;10.461;34.816;19.680;54.496;15.602;1:10.098;13.207;1:23.305;20.387;1:43.692;
