NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;23;1:42.056;11;1:42.075;8;1:42.453;10;1:42.477;13;1:42.511;6;1:42.663;7;1:42.994;9;1:43.339;12;1:43.872;18;1:45.025;5;1:42.946;
021;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Michael;Edwards;23;1:41.337;13;1:41.472;12;1:41.618;11;1:42.186;10;1:42.389;9;1:42.766;7;1:43.199;8;1:43.313;6;1:44.865;5;1:45.692;18;1:42.883;
22;Copeland Motorsports;Toyota GR86;Am;Jeremy;Fletcher;23;1:40.460;10;1:40.542;11;1:41.183;8;1:41.690;9;1:41.742;6;1:42.219;12;1:42.246;5;1:42.340;7;1:43.194;4;1:44.489;13;1:42.010;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;23;1:40.712;8;1:40.982;13;1:41.005;9;1:41.025;7;1:41.275;12;1:41.416;6;1:42.865;11;1:43.506;5;1:43.946;10;1:44.520;4;1:42.125;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;13;1:40.556;11;1:40.795;10;1:41.038;9;1:41.258;8;1:41.739;6;1:42.331;5;1:42.578;7;1:42.629;12;1:43.122;4;1:44.393;13;1:42.043;
47;TechSport;Toyota GR86;Am;Parker;DeLong;23;1:41.098;13;1:41.211;8;1:41.336;7;1:41.377;12;1:41.677;9;1:42.107;11;1:42.327;6;1:42.551;5;1:43.156;10;1:44.578;4;1:42.141;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;23;1:41.567;13;1:41.823;8;1:42.120;6;1:42.375;5;1:42.570;7;1:42.621;11;1:43.036;10;1:43.036;9;1:43.846;12;1:44.327;18;1:42.732;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;23;1:40.409;12;1:40.576;11;1:40.976;8;1:41.234;10;1:41.644;18;1:41.810;5;1:41.909;6;1:42.358;7;1:42.812;13;1:42.891;9;1:41.661;
57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jeff;Curry;17;1:44.428;12;1:44.562;10;1:44.656;11;1:44.927;9;1:45.281;8;1:46.176;7;1:46.464;13;1:46.487;14;1:47.182;6;1:50.095;4;1:46.025;
61;Skip Barber Racing;Toyota GR86;Am;James;Klimas;21;1:48.576;9;1:49.182;10;1:49.210;14;1:49.585;12;1:50.241;11;1:50.415;4;1:50.452;8;1:50.614;7;1:51.020;6;1:51.040;5;1:50.033;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;17;1:40.885;10;1:41.100;9;1:41.124;11;1:41.498;13;1:41.679;8;1:41.933;12;1:42.584;7;1:42.805;5;1:43.073;6;1:45.558;4;1:42.223;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;23;1:42.291;12;1:42.864;11;1:43.016;8;1:43.065;13;1:43.401;7;1:44.173;5;1:44.520;6;1:44.880;9;1:44.881;19;1:45.013;10;1:43.810;
86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Andrew;Gilleland;23;1:46.085;12;1:46.318;9;1:46.607;11;1:46.725;10;1:46.774;14;1:47.035;8;1:47.255;7;1:47.868;18;1:47.877;13;1:48.125;5;1:47.066;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Henry;Drury;23;1:41.112;13;1:41.987;8;1:42.526;9;1:42.693;7;1:43.010;6;1:43.292;11;1:43.503;10;1:43.583;12;1:43.643;18;1:45.152;5;1:43.050;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;23;1:42.585;13;1:42.724;9;1:42.758;10;1:42.860;12;1:43.230;11;1:43.493;7;1:43.634;8;1:44.109;6;1:44.252;5;1:44.252;18;1:43.389;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;23;1:42.610;12;1:42.755;9;1:42.779;13;1:43.091;11;1:43.301;8;1:43.584;10;1:43.609;7;1:44.350;5;1:44.374;18;1:44.611;6;1:43.506;
98;TechSport;Toyota GR86;Am;Max;Schweid;23;1:40.485;13;1:41.540;8;1:41.851;11;1:41.861;12;1:42.535;9;1:42.695;7;1:43.196;6;1:44.061;5;1:44.309;10;1:44.436;4;1:42.696;
111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Isabella;Robusto;23;1:41.721;13;1:41.784;8;1:42.104;9;1:42.190;11;1:42.435;7;1:42.609;6;1:43.198;10;1:43.935;12;1:44.178;5;1:44.260;18;1:42.841;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;4;2:04.538;2;2:14.702;3;;0;;0;;0;;0;;0;;0;;0;;0;2:09.620;
